"S023296"	"S023297"	"S023300"	"S023301"	"S023312"	"S023313"	"S023314"	"S023318"	"S023322"	"S023331"	"S023332"	"S023333"	"S023334"	"S023335"	"S023336"	"S023337"	"S023351"	"S023355"	"S023360"	"S023361"	"S023372"	"S023373"	"S023374"	"S023375"	"S023377"	"S023379"	"S023380"	"S023381"	"S023382"
"5d0eb646a85a7915f83f2859a1a094c0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
"89f53bbb0f5e5edbc4e2f108ccba12e7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4288fb682607304d39a17144718762e6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"34d34a4bf8630bbdf344b363eb647a72"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"83ad3a6054565a5ad0c397acd974ad2d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1079bdebf887fb581a383994e87499f5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"48df77235cfdfa4dca6058e6bee252c7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"01addb913e895b61a8e5ab8c74eb0248"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0c1ea225835bfd3b617d1bd1a85f3e30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cce57087c81644516ceee4ea01e7fa9a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f49f0b45dacd6d38be122125e9f112fb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c966aaa1200701073789cb20788b6c9f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"88e8ddef830a15464a1fb208de715510"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"40ea95bcec1b69acf249215703e86a17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"513f6b86f826a2b2bc8e868bf594fa74"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cbd35d099beeb31c741a344b0286d782"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"58ae2e78b3f03e93d45469b58c8d0307"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"526d46b139605ed8a458785a1e6ec1b1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6db39c24b93d4d4f20e4e4ce9970f472"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a57612b2d9d204a324eb18f719f58644"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d8d9cc764f1f8ab5f9f289ddb46292bf"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"b9339e282222443513e7c5f61661ab96"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4a70863848cc91feaec8e6fab89e9757"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"166f6787ae34833e14a5222365ed411c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f2029d849718a55a716de55dce3651b4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5500ac28059f74682ff426ae388f5a4c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"84cc15772c6266d0495a7226f5161283"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3e1a7e22a5b2dd3f53dc93f20004cbb3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
"cf5f4f6da87ca32e0405f6351c6f138c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"47d4f63bd3b856f053940e7556aad303"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
"3d361d5c6dd1df7924093e95bbd05ba0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f17d959760b1fa8a8c0ac74b621bdbb4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"feb98c0182a60e11c3a331fcc223c2a4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e51804577b51d4f81f4179fed1ffaa8c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
"adea9d64b1e5baaa1720126778d25463"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"391ee09b752a7e022e3ed391de753953"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
"b086c0a0cd515b5b94849b7c504ea514"	0	0	24	10	0	17	0	22	0	25	0	0	7	70	31	0	3	0	0	108	0	0	9	65	71	0	0	0	0
"cb79b8ebfb675f8cc59e4954ebfcc65f"	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7b28c20e72c6c95b3e604f0849245770"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904	0	0	0	0	0	0	0
"8a751cea70899be90140315f3abd0884"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
"929ae519eaa9076cd4630d3f3614a88b"	0	22	0	50	0	43	0	7	14	6	61	0	17	8	46	0	15	25	236	0	59	0	0	90	276	11	4	7	394
"321359607b7a78a44e8e5aa4a5a77478"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3ae7b0f5a5d8fc8e398d6c6a692191c5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
"de83c95a969ef2d1e376929688362598"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
"b7499b674ec60bc77fe9bf506c594619"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
"3c0934921a718f2797a78a5cb7668bd8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"360db58a1fd1c79ba0f3bcebe83386df"	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0b55e635d5e948231cb7d501a6400d56"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0
"b71a28fb2ca70217a2eb40f93f1feb80"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"c316644cc5f5fe375fcbd86e9220cd77"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"628da86395bf1c44fc5f003e08bdedcc"	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"d0aeac49ebb36a09239f2ae72f7a69f5"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"993fe36edf872f80c3065daa61086c2b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ccdb1fafa399af22caa3c5cb48c3af8d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cea16df9bba509ab04d25a407bdfd7cc"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0
"c84bd09033cb2d146d19c2ee6ea9cdeb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bf7a5a9b543d11641496b6d375c6c0f7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c23cb24149e564d975385c2b1fe5255f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"05e0f9c7c26561e050b104c345541482"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a5996e1a32a16f533931d808776fb568"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"42493212b835f1d5ce19aa8dd442e986"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e4608490b445e86f5564f59dc4da9ade"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"b4b5c2ce2bd451406cf39b6227047a05"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f0c15f57b9311cf31c66ebc823b5e47c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
"42c45783b555e40286348bfe772ca363"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
"65b056ea06c535705aa60eb85680b202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"779033a43038a30b7c8b25c0ce6888db"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9902718b295d2e660a44e2a690ab73da"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"d7ff22d535cc63616a83d69fa89e9bff"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e6a3a4e3678909032ad3f401e224d01f"	55	3	0	0	0	0	9	34	0	0	0	0	0	0	0	0	0	0	0	0	57	18	3	0	0	0	24	0	0
"681ea781f219d139f74b80c034092693"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1e014cd30f12384f509fb19d6b1727f8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
"323e463754fd2e1879931daaeb39c6a6"	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	11	0	0	0	0	19	0	0	0
"c1ad29d59c05a0bf032aebf2f2306007"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7427cc5ba277f690df113d56e5c6b538"	9	16	0	0	6	13	0	0	0	6	10	7	9	0	0	7	12	5	6	2	0	14	27	6	10	5	8	6	0
"721d9e53dc057d99377ba0fb51a52d55"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bfaa4ee27a4780048dabc3a3daeba231"	0	0	17	3	0	0	0	0	0	5	0	0	13	0	4	0	0	5	0	0	0	0	0	0	0	0	0	4	0
"8ca375705e5a0f7651a57e07a3cd4356"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f93d5a047c5e7ec421294da0dabd6cf4"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3239c8bdd3221b1a6feee85555bdbbfd"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e694a442a20470bfa6b594d129bd44a2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"821d87bebc9fd58d553973cbcf13b821"	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	13	0	0	0	0
"385bf6de19540df33e95ca2d57bbe62c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"866211d55d8b05f87ad5bf617232b8de"	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"03b8b84a1b6f152a1656da068f16fd18"	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
"25eb5752d15bbfc55186a75892f88e22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
"140c946c75f9aa281b9aeaf558543824"	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	14	22	0	0	0	0	0	0	0	0	0	0	0
"dad24219c843fdb0be3179400308b55e"	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
"7777438c23c5e9b8acb0bc33a0aed924"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"f927a19c653b6cafdbe62c2608176bbf"	0	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
